wavelength (nm),intensity ((uW/cm^2)/nm)
700.088,0.013093876
700.349,0.011919266
700.609,0.010376043
700.870,0.007154034
701.130,0.008735128
701.391,0.005932869
701.651,0.004565259
701.912,0.006458481
702.172,0.009918268
702.432,0.00741545
702.693,0.006949246
702.953,0.005561038
703.213,0.006569991
703.473,0.004468433
703.734,0.006712014
703.994,0.010725414
704.254,0.016342997
704.514,0.013164724
704.774,0.015922508
705.034,0.013980613
705.294,0.011036013
705.554,0.003934271
705.814,0.004173589
706.074,0.005595944
706.334,0.003989469
706.594,0.001497737
706.854,0.003480495
707.113,0.001752033
707.373,-0.000525466
707.633,-0.004978966
707.893,-0.004086835
708.152,-0.003788669
708.412,-0.002759889
708.672,-0.003742187
708.931,0.001479616
709.191,0.002662407
709.451,0.003443497
709.710,0.005768453
709.970,0.007493068
710.229,0.003907471
710.488,0.005961398
710.748,0.003507861
711.007,0.005593042
711.267,0.006195649
711.526,0.003929996
711.785,0.005540467
712.044,0.009390009
712.304,0.006595166
712.563,0.004611161
712.822,0.004152836
713.081,0.003178149
713.340,0.002137434
713.599,0.004108936
713.858,0.002262937
714.117,0.007495688
714.377,0.005249155
714.635,0.007703647
714.894,0.010814123
715.153,0.013265178
715.412,0.012604037
715.671,0.014000747
715.930,0.011466904
716.189,0.011173648
716.447,0.012651434
716.706,0.016607365
716.965,0.017385361
717.224,0.018137374
717.482,0.014020908
717.741,0.016739102
717.999,0.01498785
718.258,0.013787075
718.517,0.010658351
718.775,0.009100149
719.034,0.011109648
719.292,0.016083368
719.550,0.014333654
719.809,0.013439135
720.067,0.010081809
720.326,0.01057567
720.584,0.00991799
720.842,0.012596221
721.100,0.009583836
721.359,0.012114594
721.617,0.009563049
721.875,0.012143618
722.133,0.014710392
722.391,0.014170473
722.649,0.011083306
722.907,0.016635961
723.165,0.015191624
723.423,0.017829676
723.681,0.014253095
723.939,0.017535662
724.197,0.013956378
724.455,0.016696933
724.713,0.01502583
724.970,0.015824338
725.228,0.01271943
725.486,0.012181779
725.744,0.011482946
726.001,0.013447752
726.259,0.008698866
726.517,0.013410299
726.774,0.011684553
727.032,0.01790588
727.289,0.016923651
727.547,0.020150027
