wavelength (nm),intensity ((uW/cm^2)/nm)
472.096,0.002495766
472.378,0.001981146
472.660,0.000471915
472.942,-0.000258513
473.224,-0.000751765
473.506,0.001430635
473.788,0.001032773
474.070,0.00227671
474.351,0.00218882
474.633,0.002429104
474.915,0.001623608
475.197,0.003213086
475.479,0.003392539
475.760,0.006064079
476.042,0.008246147
476.324,0.008320028
476.606,0.007323624
476.887,0.006149447
477.169,0.004792703
477.451,0.006425088
477.732,0.007455548
478.014,0.006879055
478.295,0.006421155
478.577,0.008201482
478.858,0.007545067
479.140,0.009340427
479.421,0.007173855
479.703,0.005304631
479.984,0.00619518
480.265,0.007591412
480.547,0.00846509
480.828,0.009084671
481.110,0.006666052
481.391,0.004484423
481.672,0.003638261
481.953,0.002752703
482.235,0.00171415
482.516,0.001765867
482.797,-0.002027925
483.078,0.001772157
483.359,0.001910664
483.640,0.001244394
483.922,0.001324885
484.203,0.002389164
484.484,0.000717371
484.765,0.00329624
485.046,0.000374185
485.327,-0.000303175
485.608,-0.000551198
485.889,-0.000840155
486.170,0.001082971
486.450,0.004978368
486.731,0.00293419
487.012,0.001477371
487.293,0.002719973
487.574,0.001378178
487.855,0.002899701
488.135,0.002300019
488.416,-0.000130398
488.697,0.002174678
488.977,0.002416297
489.258,0.002894584
489.539,0.003729301
489.819,0.002560966
490.100,0.000862694
490.381,4.2455E-05
490.661,0.002403359
490.942,-0.001912822
491.222,-0.000316184
491.503,-0.002145479
491.783,-0.001285638
492.064,0.001351791
492.344,-0.00042077
492.624,0.00106076
492.905,-0.000400123
493.185,0.001768879
493.465,0.002420579
493.746,0.00172797
494.026,0.00116011
494.306,-0.000790154
494.586,0.001521776
494.867,-4.16681E-05
495.147,9.15368E-05
495.427,0.000759505
495.707,-0.003080176
495.987,0.001648509
496.267,0.002063939
496.547,0.002787657
496.827,-0.000590027
497.107,-0.001091907
497.387,-0.003094768
497.667,0.00016037
497.947,0.002204985
498.227,0.003487511
498.507,0.005760116
498.787,0.006203409
499.067,0.003118341
499.347,0.005365048
499.627,0.001612304
499.906,0.001491597
500.186,0.003541176
500.466,0.006461688
500.746,0.007139212
501.025,0.010580546
