wavelength (nm),intensity ((uW/cm^2)/nm)
562.255,0.026632934
562.529,0.02900115
562.804,0.027509952
563.078,0.030264213
563.352,0.030669352
563.627,0.030801867
563.901,0.030762135
564.175,0.032254042
564.449,0.031563762
564.723,0.030251185
564.998,0.029187697
565.272,0.029232438
565.546,0.028061986
565.820,0.030296101
566.094,0.029986924
566.368,0.032248696
566.642,0.030335141
566.916,0.029582009
567.190,0.028335194
567.464,0.02958267
567.738,0.028168104
568.011,0.029092434
568.285,0.028311419
568.559,0.028100357
568.833,0.026941471
569.107,0.026244858
569.380,0.024705282
569.654,0.023991649
569.928,0.023225149
570.201,0.024231667
570.475,0.024502151
570.749,0.024638546
571.022,0.02385771
571.296,0.023882366
571.569,0.021912146
571.843,0.022962314
572.116,0.024693547
572.390,0.025315786
572.663,0.02539185
572.937,0.026205241
573.210,0.026478191
573.483,0.026844715
573.757,0.026336865
574.030,0.024784823
574.303,0.024768022
574.576,0.023205393
574.850,0.021849299
575.123,0.02422243
575.396,0.022275009
575.669,0.019634393
575.942,0.020313742
576.215,0.020657908
576.489,0.020055577
576.762,0.019898163
577.035,0.018415798
577.308,0.018917337
577.581,0.01958455
577.854,0.017862314
578.126,0.019492156
578.399,0.020721375
578.672,0.01824357
578.945,0.018296243
579.218,0.020724161
579.491,0.021195273
579.764,0.02025637
580.036,0.019905768
580.309,0.01768801
580.582,0.019564906
580.854,0.0175386
581.127,0.018089039
581.400,0.019216492
581.672,0.019281691
581.945,0.017802769
582.217,0.018883476
582.490,0.019798034
582.762,0.018193727
583.035,0.015395393
583.307,0.01825881
583.580,0.018326939
583.852,0.020513054
584.125,0.019282322
584.397,0.020697416
584.669,0.017924465
584.941,0.019225347
585.214,0.017500943
585.486,0.020662701
585.758,0.018502539
586.030,0.019601026
586.302,0.020245069
586.575,0.022285031
586.847,0.020763157
587.119,0.02224536
587.391,0.021649179
587.663,0.022775079
587.935,0.023123057
588.207,0.026880926
588.479,0.025695546
588.751,0.02536596
589.023,0.023078135
589.295,0.02610411
589.567,0.024784111
589.838,0.025200962
590.110,0.023886555
590.382,0.023311489
590.654,0.023776341
590.925,0.022909511
591.197,0.02179495
591.469,0.022043934
591.740,0.019864982
592.012,0.02134791
592.284,0.024020226
592.555,0.025805711
592.827,0.021529238
593.098,0.021505791
593.370,0.019700536
593.641,0.022617952
593.913,0.022873331
594.184,0.022630131
594.456,0.022751186
594.727,0.023812609
594.998,0.021890335
595.270,0.021876188
595.541,0.020135977
595.812,0.019047364
596.083,0.018032465
